Sex,Single Year of Age,VALUE
Male,15 years,929
Male,15 years,511
Male,15 years,512
Male,15 years,628
Male,15 years,1271
Male,15 years,474
Male,16 years,34646
Male,16 years,431
Male,16 years,2750
Male,16 years,1381
Male,16 years,2293
Male,16 years,2104
Male,16 years,1803
Male,16 years,783
Male,16 years,680
Male,16 years,340
Male,16 years,1052
Male,16 years,1705
Male,16 years,600
Male,16 years,713
Male,16 years,1197
Male,16 years,1077
Male,16 years,903
Male,16 years,1219
Male,16 years,2609
Male,16 years,988
Male,16 years,1436
Male,16 years,1160
Male,16 years,945
Male,16 years,419
Male,16 years,1519
Male,16 years,265
Male,16 years,945
Male,16 years,503
Male,16 years,461
Male,16 years,611
Male,16 years,1292
Male,16 years,462
Male,17 years,34981
Male,17 years,463
Male,17 years,2906
Male,17 years,1374
Male,17 years,2371
Male,17 years,2078
Male,17 years,1884
Male,17 years,726
Male,17 years,703
Male,17 years,331
Male,17 years,1032
Male,17 years,1613
Male,17 years,638
Male,17 years,685
Male,17 years,1204
Male,17 years,1168
Male,17 years,954
Male,17 years,1225
Male,17 years,2674
Male,17 years,1057
Male,17 years,1391
Male,17 years,1240
Male,17 years,863
Male,17 years,438
Male,17 years,1457
Male,17 years,270
Male,17 years,946
Male,17 years,481
Male,17 years,481
Male,17 years,596
Male,17 years,1236
Male,17 years,496
Male,18 years,33900
Male,18 years,437
Male,18 years,3143
Male,18 years,1427
Male,18 years,2221
Male,18 years,2022
Male,18 years,1888
Male,18 years,715
Male,18 years,665
Male,18 years,337
Male,18 years,999
Male,18 years,1593
Male,18 years,637
Male,18 years,641
Male,18 years,1142
Male,18 years,997
Male,18 years,860
Male,18 years,1360
Male,18 years,2443
Male,18 years,985
Male,18 years,1396
Male,18 years,1089
Male,18 years,882
Male,18 years,512
Male,18 years,1332
Male,18 years,229
Male,18 years,873
Male,18 years,487
Male,18 years,435
Male,18 years,574
Male,18 years,1175
Male,18 years,404
Male,19 years,32867
Male,19 years,446
Male,19 years,3669
Male,19 years,1577
Male,19 years,2167
Male,19 years,2041
Male,19 years,1744
Male,19 years,562
Male,19 years,593
Male,19 years,287
Male,19 years,894
Male,19 years,1507
Male,19 years,545
Male,19 years,585
Male,19 years,941
Male,19 years,965
Male,19 years,829
Male,19 years,1674
Male,19 years,2259
Male,19 years,880
Male,19 years,1467
Male,19 years,930
Male,19 years,826
Male,19 years,758
Male,19 years,1212
Male,19 years,162
Male,19 years,734
Male,19 years,373
Male,19 years,419
Male,19 years,479
Male,19 years,930
Male,19 years,412
Male,20 years,32120
Male,20 years,444
Male,20 years,3777
Male,20 years,1535
Male,20 years,2080
Male,20 years,1904
Male,20 years,1744
Male,20 years,560
Male,20 years,537
Male,20 years,315
Male,20 years,1037
Male,20 years,1454
Male,20 years,504
Male,20 years,562
Male,20 years,932
Male,20 years,908
Male,20 years,828
Male,20 years,1652
Male,20 years,2004
Male,20 years,807
Male,20 years,1428
Male,20 years,970
Male,20 years,794
Male,20 years,882
Male,20 years,1078
Male,20 years,185
Male,20 years,652
Male,20 years,375
Male,20 years,427
Male,20 years,455
Male,20 years,941
Male,20 years,349
Male,21 years,30771
Male,21 years,432
Male,21 years,3903
Male,21 years,1480
Male,21 years,1959
Male,21 years,1900
Male,21 years,1587
Male,21 years,574
Male,21 years,534
Male,21 years,274
Male,21 years,897
Male,21 years,1330
Male,21 years,466
Male,21 years,572
Male,21 years,801
Male,21 years,879
Male,21 years,655
Male,21 years,1667
Male,21 years,1871
Male,21 years,756
Male,21 years,1343
Male,21 years,939
Male,21 years,772
Male,21 years,923
Male,21 years,1010
Male,21 years,146
Male,21 years,629
Male,21 years,343
Male,21 years,449
Male,21 years,442
Male,21 years,887
Male,21 years,351
Male,22 years,31450
Male,22 years,408
Male,22 years,4372
Male,22 years,1607
Male,22 years,1983
Male,22 years,1873
Male,22 years,1510
Male,22 years,555
Male,22 years,517
