Sex,Age,Population
Male,19,545
Male,19,585
Male,19,941
Male,19,965
Male,19,829
Male,19,1674
Male,19,2259
Male,19,880
Male,19,1467
Male,19,930
Male,19,826
Male,19,758
Male,19,1212
Male,19,162
Male,19,734
Male,19,373
Male,19,419
Male,19,479
Male,19,930
Male,19,412
Male,20,32120
Male,20,444
Male,20,3777
Male,20,1535
Male,20,2080
Male,20,1904
Male,20,1744
Male,20,560
Male,20,537
Male,20,315
Male,20,1037
Male,20,1454
Male,20,504
Male,20,562
Male,20,932
Male,20,908
Male,20,828
Male,20,1652
Male,20,2004
Male,20,807
Male,20,1428
Male,20,970
Male,20,794
Male,20,882
Male,20,1078
Male,20,185
Male,20,652
Male,20,375
Male,20,427
Male,20,455
Male,20,941
Male,20,349
Male,21,30771
Male,21,432
Male,21,3903
Male,21,1480
Male,21,1959
Male,21,1900
Male,21,1587
Male,21,574
Male,21,534
Male,21,274
Male,21,897
Male,21,1330
Male,21,466
Male,21,572
Male,21,801
Male,21,879
Male,21,655
Male,21,1667
Male,21,1871
Male,21,756
Male,21,1343
Male,21,939
Male,21,772
Male,21,923
Male,21,1010
Male,21,146
Male,21,629
Male,21,343
Male,21,449
Male,21,442
Male,21,887
Male,21,351
Male,22,31450
Male,22,408
Male,22,4372
Male,22,1607
Male,22,1983
Male,22,1873
Male,22,1510
Male,22,555
Male,22,517
Male,22,259
Male,22,852
Male,22,1314
Male,22,502
Male,22,535
Male,22,878
Male,22,870
Male,22,775
Male,22,1842
Male,22,1832
Male,22,790
Male,22,1478
Male,22,909
Male,22,751
Male,22,895
Male,22,928
Male,22,170
Male,22,624
Male,22,347
Male,22,411
Male,22,441
Male,22,870
Male,22,352
Male,23,30871
Male,23,376
Male,23,4839
Male,23,1566
Male,23,1926
Male,23,1899
Male,23,1469
Male,23,523
Male,23,503
Male,23,266
Male,23,812
Male,23,1257
Male,23,453
Male,23,584
Male,23,854
Male,23,811
Male,23,632
Male,23,1721
Male,23,1785
Male,23,834
Male,23,1351
Male,23,866
Male,23,740
Male,23,795
Male,23,907
Male,23,177
Male,23,619
Male,23,336
Male,23,365
Male,23,436
Male,23,809
Male,23,360
Male,24,30234
Male,24,340
Male,24,5137
Male,24,1508
Male,24,1818
Male,24,1855
Male,24,1340
Male,24,526
Male,24,471
Male,24,239
Male,24,737
Male,24,1170
Male,24,437
Male,24,567
Male,24,837
Male,24,725
Male,24,649
Male,24,1687
Male,24,1704
Male,24,750
Male,24,1355
Male,24,842
Male,24,711
Male,24,855
Male,24,899
Male,24,147
Male,24,644
Male,24,285
Male,24,373
Male,24,429
Male,24,821
Male,24,376
Male,25,29969
Male,25,330
Male,25,5634
Male,25,1532
Male,25,1831
Male,25,1761
Male,25,1344
Male,25,539
Male,25,437
Male,25,210
Male,25,750
Male,25,1073
Male,25,424
Male,25,517
Male,25,793
Male,25,687
Male,25,627
Male,25,1779
Male,25,1590
Male,25,755
Male,25,1346
Male,25,844
Male,25,654
Male,25,788
Male,25,802
Male,25,142
